localizacao,nivel_urgencia,tipo_situacao,pessoas_envolvidas
"Alameda Barão do Rio Branco, 141, Belo Horizonte - MG",Alto,Incêndio,Idoso
"Travessa da República, 1516, São Paulo - SP",Alto,Perturbação do sossego,Grupo de homens
"Travessa Barão do Rio Branco, 2360, Curitiba - PR",Baixo,Atividade suspeita,Vítima não identificada
"Estrada Tiradentes, 854, Belo Horizonte - MG",Médio,Vandalismo,Vítima não identificada
"Estrada Primeiro de Maio, 165, Goiânia - GO",Médio,Acidente de trânsito sem vítima,Casal
"Avenida Santa Rita, 153, Fortaleza - CE",Médio,Maus tratos a animais,Suspeito(s) em fuga
"Avenida Dom Pedro II, 631, Brasília - DF",Alto,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Praça Marechal Deodoro, 929, Porto Alegre - RS",Médio,Perturbação do sossego,Casal
"Avenida Primeiro de Maio, 2130, Brasília - DF",Médio,Perturbação do sossego,Suspeito(s) em fuga
"Praça São José, 2181, Salvador - BA",Baixo,Desaparecimento,Suspeito(s) em fuga
"Estrada Primeiro de Maio, 1931, Florianópolis - SC",Baixo,Atividade suspeita,Vítima não identificada
"Praça XV de Novembro, 1546, Salvador - BA",Médio,Furto,N/A (Ex: Incêndio)
"Praça do Sol, 2321, Fortaleza - CE",Baixo,Assalto a mão armada,Vítima não identificada
"Rua São José, 2372, São Paulo - SP",Alto,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Alameda da Paz, 1466, Rio de Janeiro - RJ",Médio,Vandalismo,Suspeito(s) em fuga
"Alameda das Flores, 2389, Goiânia - GO",Médio,Acidente de trânsito sem vítima,Casal
"Rua das Flores, 2432, Goiânia - GO",Médio,Acidente de trânsito com vítima,Múltiplas pessoas
"Praça Tiradentes, 659, Rio de Janeiro - RJ",Alto,Vandalismo,Múltiplas pessoas
"Rua Sete de Setembro, 1341, São Paulo - SP",Médio,Briga doméstica,Idoso
"Alameda XV de Novembro, 1661, Porto Alegre - RS",Alto,Acidente de trânsito sem vítima,Mulher
"Rua Duque de Caxias, 1781, Belo Horizonte - MG",Médio,Furto,"Família (Homem, Mulher, Criança)"
"Rua Santa Rita, 1905, Porto Alegre - RS",Baixo,Atividade suspeita,Múltiplas pessoas
"Estrada XV de Novembro, 1634, São Paulo - SP",Baixo,Vandalismo,Casal
"Estrada Primeiro de Maio, 1405, Rio de Janeiro - RJ",Médio,Roubo (sem arma),Suspeito(s) em fuga
"Estrada Sete de Setembro, 437, Curitiba - PR",Médio,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Estrada da República, 805, Salvador - BA",Médio,Desaparecimento,Vítima não identificada
"Alameda Santos Dumont, 1680, Recife - PE",Baixo,Maus tratos a animais,Vítima não identificada
"Estrada Primeiro de Maio, 2490, Fortaleza - CE",Médio,Roubo (sem arma),Grupo de homens
"Praça Tiradentes, 1058, Manaus - AM",Baixo,Agressão física,Vítima não identificada
"Estrada Duque de Caxias, 670, Goiânia - GO",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Praça Marechal Deodoro, 1422, São Paulo - SP",Baixo,Acidente de trânsito sem vítima,Mulher
"Rua XV de Novembro, 113, Recife - PE",Baixo,Agressão física,Múltiplas pessoas
"Estrada da República, 876, Florianópolis - SC",Médio,Acidente de trânsito com vítima,Múltiplas pessoas
"Alameda Brasil, 2277, Recife - PE",Alto,Vandalismo,N/A (Ex: Incêndio)
"Avenida da Paz, 1626, Manaus - AM",Baixo,Furto,Suspeito(s) em fuga
"Avenida Dom Pedro II, 578, São Paulo - SP",Alto,Furto,Criança
"Alameda Sete de Setembro, 1815, Salvador - BA",Alto,Acidente de trânsito com vítima,Múltiplas pessoas
"Estrada Duque de Caxias, 610, Florianópolis - SC",Alto,Assalto a mão armada,Casal
"Estrada da Paz, 638, Manaus - AM",Médio,Maus tratos a animais,N/A (Ex: Incêndio)
"Rua das Flores, 1586, Curitiba - PR",Médio,Acidente de trânsito sem vítima,Casal
"Alameda XV de Novembro, 1899, Salvador - BA",Alto,Desaparecimento,N/A (Ex: Incêndio)
